Instance ID,Instance Type,CPU Utilization,Memory Utilization,Network In,Network Out,Storage Used,Service
i-56789abcdef5,t2.micro,30%,50%,10 MB/s,5 MB/s,45 GB,Amazon S3 Static Website Hosting
i-9abcdef9,t2.medium,60%,85%,30 MB/s,8 MB/s,15 GB,Amazon RDS Database
i-123456789abcdef1,t2.xlarge,50%,95%,30 MB/s,25 MB/s,75 GB,Amazon Redshift Data Warehouse
i-0123456789abcdef0,t2.micro,95%,95%,45 MB/s,2 MB/s,35 GB,Amazon DynamoDB NoSQL Database
i-56789abcdef5,t2.micro,90%,70%,25 MB/s,2 MB/s,5 GB,Amazon CloudWatch Monitoring & Logging
i-456789abcdef4,t2.medium,98%,98%,50 MB/s,22 MB/s,75 GB,Amazon Redshift Data Warehouse
i-123456789abcdef1,t2.small,20%,70%,20 MB/s,2 MB/s,15 GB,Amazon EC2 Containerized Microservice (ECS)
i-89abcdef8,t2.medium,80%,95%,40 MB/s,20 MB/s,45 GB,Amazon DynamoDB NoSQL Database
i-9abcdef9,t2.small,60%,80%,15 MB/s,8 MB/s,20 GB,Amazon API Gateway
i-789abcdef7,t2.xlarge,90%,90%,40 MB/s,25 MB/s,20 GB,Amazon Elastic Beanstalk Web Application Deployment
i-789abcdef7,t2.large,20%,40%,35 MB/s,20 MB/s,15 GB,Amazon Lambda Serverless Function
i-0123456789abcdef0,t2.micro,80%,85%,30 MB/s,2 MB/s,35 GB,Amazon API Gateway
i-456789abcdef4,t2.large,90%,97%,15 MB/s,20 MB/s,60 GB,Amazon Lambda Serverless Function
i-6789abcdef6,t2.small,60%,97%,20 MB/s,20 MB/s,15 GB,Amazon Kinesis Data Streaming & Analytics
i-3456789abcdef3,t2.large,90%,90%,35 MB/s,8 MB/s,20 GB,Amazon Lambda Serverless Function
i-23456789abcdef2,t2.medium,75%,85%,30 MB/s,12 MB/s,45 GB,Amazon RDS Database
i-456789abcdef4,t2.large,20%,98%,45 MB/s,20 MB/s,30 GB,Amazon Lambda Serverless Function
i-123456789abcdef1,t2.small,50%,70%,15 MB/s,2 MB/s,30 GB,Amazon Kinesis Data Streaming & Analytics
